name,category,price,label,rating,description,details,stock,sold_stock,discount,charms,jewel_set_products,created_at,is_charm_spreadable
Diamond Necklace,necklace,999.99,gold,4.8,Kalung emas mewah,Panjang 45cm,10,3,5,FALSE,,2024-01-01 10:00:00,
Glimmer Clover Anklet,anklet,90250,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu.

Gelang Kaki Glimmer Clover Sparklore dengan desain elegan dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan sehari-hari dalam berbagai aktivitas. Adanya clover yang cantik membuat kakimu terlihat lebih cantik dan membawa keberuntungan di setiap langkahmu!

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]

Nama Produk : Sparklore Glimmer Clover Anklet - Gelang Kaki Glimmer Clover Sparklore
Bahan : Titanium Lapis Emasi 18k - Gold Plated 18k (Waterproof, Anti karat & Anti Menghitam)
Ukuran Produk / Panjang Gelang Kaki: 20 + 5 cm",20,0,0,FALSE,,,
Twilight Zircon Anklet,anklet,117325,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Gelang Kaki  Twilight Zircon Sparklore dengan desain elegan dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan sehari-hari dalam berbagai aktivitas. Adanya batu zircon membuat kakimu terlihat lebih berkilau dan manis.  

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Twilight Zircon Anklet - Gelang Kaki  Twilight Zircon Sparklore
Bahan :  Batu Zircon & Titanium Lapis Emasi 18k - Gold Plated 18k  (Waterproof, Anti karat & Anti Menghitam)
Ukuran Produk/Panjang Gelang Kaki : 20 + 5 cm",20,0,0,FALSE,,,
Twilight Zircon Anklet,anklet,117325,rose_gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Gelang Kaki  Twilight Zircon Sparklore dengan desain elegan dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan sehari-hari dalam berbagai aktivitas. Adanya batu zircon membuat kakimu terlihat lebih berkilau dan manis.  

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Twilight Zircon Anklet - Gelang Kaki  Twilight Zircon Sparklore
Bahan :  Batu Zircon & Titanium Lapis Emasi 18k - Gold Plated 18k  (Waterproof, Anti karat & Anti Menghitam)
Ukuran Produk/Panjang Gelang Kaki : 20 + 5 cm",20,0,0,FALSE,,,
Gold Spark Dots,earring,54150,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Spark Dots Sparklore dengan desain Simpel dan mewah dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan sehari-hari dan untuk teman-teman yang habis melakukan tindik. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore  Spark Dots Gold Earrings - Anting  Spark Dots Sparklore
Bahan : Batu Zircon & Titanium Berlapis Emas 18k Waterproof
Ukuran Produk : Diameter Batu Zircon 0.6 cm",20,0,0,FALSE,,,
DDouble O Studs Earrings,earring,94999.05,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Double O Sparklore dengan desain elegan dan unik, terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Double O Earrings - Anting Double O
Bahan : Titanium Berlapis Emas 18k ",20,0,0,FALSE,,,
Zyra Hoop Zircon,earring,117325,silver,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan dari waktu ke waktu. 

Anting Zyra Hoop Sparklore dengan desain simple, elegan dan modern yang terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Cocok digunakan untuk kegiatan sehari-hari maupun bekerja. Dengan design yang simple dan unik membuat penampilan Anda akan lebih elegan. Elegan and Pretty!

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Zyra Hoop  Earrings - Anting Zyra Hoop  Sparklore
Bahan : Titanium & Batu Zircon",20,0,0,FALSE,,,
TwinTone Hoops Earrings,earring,180499.05,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting TwinToner Sparklroe dengan desain elegan dan unik, terbuat dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore TwinTone  Earrings - Anting TwinTone
Bahan : Titanium Berlapis Emas 18k ",20,0,0,FALSE,,,
Glimmer Hoops Silver Earrings,earring,63175,silver,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan dari waktu ke waktu. 

Anting Glimmer Hoops Sparklore dengan desain unik berwarna silver terbuat dari Stainless Steel anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan untuk acara formal maupun semiformal. Cocok untuk Anda yang suka memakai anting hoops dengan design unik tapi tirai berlebihan. 

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Glimmer Hoops Earrings - Anting Glimmer Sparklore
Bahan : Stainless Steel Waterproof
Ukuran Produk : Diameter  ± 3.5 cm",20,0,0,FALSE,,,
Sparklore Orbit Studs,earring,72200,gold,5,"[Perawatan Produk]
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan.
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Anting Orbit Sparklore dengan desain unik dan modern dari titanium anti karat yang tahan air dan tidak meninggalkan noda hijau di kulit. Dibalut emas 18k, anting ini aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Cocok digunakan sehari-hari maupun untuk acara formal,  menambahkan sentuhan elegan pada penampilanmu.

Why Sparklore?
- Menggunakan bahan 100% Stainless Steel & Titanium
- Tidak berkarat dan tidak menghitam
- Aman untuk kulit sensitif atau alergi
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air
- Warna tahan lama dan tidak mudah pudar","[Detail Produk]
Nama Produk : Sparklore Orbit Studs Earrings - Anting Orbit Sparklore
Bahan : Titanium Berlapis Emas 18k Waterproof
Ukuran Produk : ± 1.5 cm x 1.5 cm ",20,0,0,FALSE,,,
