id,page,image,uploaded_at
1,homepage,banners/banner_home_lEq3MYE.jpeg,2025-05-26 18:58:53.470373
2,new_arrival,banners/navbar_newarrival_bg.png,2025-05-26 18:59:17.691113
3,charmbar,banners/navbar_charmbar_bg.png,2025-05-26 18:59:37.555754
4,charms,banners/charmbar_product6.png,2025-05-26 19:00:16.630549
5,necklace,banners/navbar_necklace_bg.png,2025-05-26 19:00:25.399887
6,bracelet,banners/navbar_bracelet_bg.png,2025-05-26 19:00:34.021940
7,earrings,banners/navbar_earrings_bg.png,2025-05-26 19:00:42.829458
8,rings,banners/navbar_rings_bg.png,2025-05-26 19:00:49.240192
9,anklets,banners/navbar_anklets_bg.png,2025-05-26 19:00:55.179883
10,gift_sets,banners/giftset_bg.jpeg,2025-05-26 19:01:01.725942
11,for_us,banners/homeproduct7.png,2025-05-26 19:01:21.312021
12,for_him,banners/charmbar_product5.png,2025-05-26 19:01:36.657019
13,for_her,banners/homeproduct3.png,2025-05-26 19:01:49.996378
14,jewel_set,banners/homeproduct7_Yi4WbEk.png,2025-05-27 05:38:58.131993
15,monthly_special,banners/navbar_newarrival_bg_hlznlSB.png,2025-05-29 13:55:02.030457
